NomDeNaissance;Prenom;Sexe;DateDeNaissance;TypeMandat;DateDebutMandat;DateFinMandat;MotifFinMandat;TypeFonction;DateDebutFonction;DateFinFonction;MotifFinFonction;Mandature;NuancePolitique;NomTerritoire;TypeTerritoire
HOUYOUX;MAURICE;M;NA;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;DVD;LE BOURGET;Commune
SERELLE;MARIUS;M;07/09/1905;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;DVD;NOISY LE GRAND;Commune
COLSON;MARCEL;M;NA;CONSEILLER MUNICIPAL;14/03/1965;01/03/1968;DC;M;14/03/1965;01/03/1968;DC;1965;DVD;RAINCY;Commune
DOUDEY;LUCIEN;M;NA;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;01/03/1968;10/03/1971;FM;1965;DVD;RAINCY;Commune
CADOZ;MARIUS;M;30/12/1914;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;DVG;GEX;Commune
GISCLON;JOFFRE;M;14/04/1915;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;DVG;TALANT;Commune
MOURET;HENRI;M;NA;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;IND;AIX EN PROVENCE;Commune
CHASTEL;PAUL;M;28/01/1905;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;IND;BELLEY;Commune
PRIVAT;CHARLES;M;08/06/1914;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;SFIO;ARLES;Commune
GARCIN;EDMOND;M;24/04/1917;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;PCF;AUBAGNE;Commune
MOINE;HENRI;M;22/03/1921;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;30/12/1968;10/03/1971;FM;1965;RPR;BEAUNE;Commune
PERRIAUX;LUCIEN;M;1898-11-07;CONSEILLER MUNICIPAL;14/03/1965;01/01/1968;NA;M;14/03/1965;01/01/1968;NA;1965;UNR;BEAUNE;Commune
KIR;FELIX;M;1876-01-22;CONSEILLER MUNICIPAL;14/03/1965;25/04/1968;DC;M;14/03/1965;25/04/1968;DC;1965;CNI;DIJON;Commune
VALBON;GEORGES;M;08/08/1924;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;PCF;BOBIGNY;Commune
BARBEROT;PAUL;M;26/10/1915;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;MRP;BOURG EN BRESSE;Commune
FERAUD;PAUL;M;NA;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;NA;AURIOL;Commune
BERGEON;JEAN;M;NA;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;01/06/1967;10/03/1971;FM;1965;NA;BOUC BEL AIR;Commune
GUIS;MAURICE;M;NA;CONSEILLER MUNICIPAL;14/03/1965;01/06/1967;NA;M;14/03/1965;01/06/1967;NA;1965;NA;BOUC BEL AIR;Commune
MARTIN;RAYMOND;M;NA;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;NA;CABRIES;Commune
NILES;MAURICE;M;12/09/1919;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;PCF;DRANCY;Commune
EMIN;LEON;M;11/07/1903;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;NA;OYONNAX;Commune
SUMEIRE;FERNAND;M;NA;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;NA;PENNES MIRABEAU;Commune
RIEUBON;RENE;M;04/03/1918;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;PCF;PORT DE BOUC;Commune
DESPIERRE;RENE;M;NA;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;15/11/1970;10/03/1971;FM;1965;NA;SAINT GENIS POUILLY;Commune
GRILLET;ARISTIDE;M;NA;CONSEILLER MUNICIPAL;14/03/1965;01/11/1970;DC;M;14/03/1965;01/11/1970;DC;1965;NA;SAINT GENIS POUILLY;Commune
ANDRE;JEAN;M;NA;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;NA;TARASCON;Commune
COUTROT;MAURICE;M;03/12/1907;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;SOC;BONDY;Commune
MEIFFRE;JEAN CHARLES;M;18/04/1908;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;RAD;MIRIBEL;Commune
COMBIER;PAUL;M;01/01/1933;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;SOC;AMBERIEU EN BUGEY;Commune
MAZUE;MAURICE ANDRE GUILLAUME;M;24/02/1911;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;SOC;LONGVIC;Commune
REMOND;ROGER;M;04/02/1925;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;SOC;QUETIGNY;Commune
GRAILLE;JEAN;M;18/05/1907;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;SOC;LA CIOTAT;Commune
DEFFERRE;GASTON;M;14/09/1910;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;SOC;MARSEILLE;Commune
BAGNANINCHI;JOSEPH;M;NA;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;SOC;SAINT MARTIN DE CRAU;Commune
CADOT;MAURICE;M;1899-08-05;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;SOC;AULNAY SOUS BOIS;Commune
MARCHELART;GERARD;M;01/01/1928;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;12/01/1967;10/03/1971;NA;1965;SOC;ROMAINVILLE;Commune
KERAUTRET;PIERRE;M;1899-05-11;CONSEILLER MUNICIPAL;14/03/1965;11/01/1967;DC;M;14/03/1965;11/01/1967;DC;1965;SOC;ROMAINVILLE;Commune
