"Id","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","Mandature","NuancePolitique","NomTerritoire","TypeTerritoire"
"011","COLSON","MARCEL","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1968-03-01,"DC","M",1965-03-14,1968-03-01,"DC",1965,"DVD","RAINCY","Commune"
"065","DOUDEY","LUCIEN","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1968-03-01,1971-03-10,"FM",1965,"DVD","RAINCY","Commune"
"012","CADOZ","MARIUS","M",1914-12-30,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"DVG","GEX","Commune"
"066","GISCLON","JOFFRE","M",1915-04-14,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"DVG","TALANT","Commune"
"013","MOURET","HENRI","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"IND","AIX EN PROVENCE","Commune"
"017","CHASTEL","PAUL","M",1905-01-28,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"IND","BELLEY","Commune"
"014","PRIVAT","CHARLES","M",1914-06-08,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"SFIO","ARLES","Commune"
"067","GARCIN","EDMOND","M",1917-04-24,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"PCF","AUBAGNE","Commune"
"068","MOINE","HENRI","M",1921-03-22,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1968-12-30,1971-03-10,"FM",1965,"RPR","BEAUNE","Commune"
"069","PERRIAUX","LUCIEN","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1968-01-01,NA,"M",1965-03-14,1968-01-01,NA,1965,"UNR","BEAUNE","Commune"
"035","KIR","FELIX","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1968-04-25,"DC","M",1965-03-14,1968-04-25,"DC",1965,"CNI","DIJON","Commune"
"070","VALBON","GEORGES","M",1924-08-08,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"PCF","BOBIGNY","Commune"
"071","BARBEROT","PAUL","M",1915-10-26,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"MRP","BOURG EN BRESSE","Commune"
"072","FERAUD","PAUL","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,NA,"AURIOL","Commune"
"073","BERGEON","JEAN","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1967-06-01,1971-03-10,"FM",1965,NA,"BOUC BEL AIR","Commune"
