NomDeNaissance;Prenom;Sexe;DateNaissance;CommuneDeNaissance;DepartementDeNaissance;PaysDeNaissance;DateDeces;CommuneDeDeces;Nationalite;LibelleProfession;Sources;Divers
BERGEON;JEAN;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
GUIS;MAURICE;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
MARTIN;ROGER;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
GUIOU;MAURICE;M;01/01/1926;NA;NA;NA;10/03/2014;BERRE L ETANG;Français;NA;PRESSE;
MARTINET;MARIO;M;20/09/1956;NA;NA;NA;NON;NA;Français;Cadre fonction publique;PRESSE;
BAGNANINCHI;JOSEPH;M;NA;NA;NA;NA;NA;NA;NA;Medecin;NA;
VULPIAN;CLAUDE;M;22/11/1936;NA;NA;NA;NA;NA;NA;NA;NA;
TEIXIER;DOMINIQUE;M;07/04/1951;NA;NA;NA;NON;NA;Français;NA;NA;
LEXCELLENT;MARIE ROSE;F;10/02/1947;NA;NA;NA;NON;NA;Français;NA;NA;
MARTIN;RAYMOND;M;NA;NA;NA;NA;01/10/1993;NA;Français;NA;NA;
MATTEODA;MARCEL;M;NA;CABRIES;BOUCHES DU RHONE;France;NA;NA;Français;NA;NA;
CHARPIN;PIERRE;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
FABRE AUBRESPY;HERVE;M;20/07/1956;LYON;RHONE;France;NON;NA;Français;Haut fonctionnaire;WIKIPEDIA;
MARTIN;RICHARD;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
VENTRON;AMAPOLA;F;NA;NA;NA;NA;NA;NA;NA;Chef-fe entreprise;WIKIPEDIA;
TURCAN;FRANCIS;M;23/02/1912;MARTIGUES;BOUCHES DU RHONE;France;08/12/1968;MARTIGUES;Français;Employé-e;WIKIPEDIA;
PASCAL;PAUL;M;;;;;;;;Chef-fe entreprise;WIKIPEDIA;
BOYER;MARIUS;M;07/11/1887;AURIOL;BOUCHES DU RHONE;France;01/10/1969;AUBAGNE;Français;Industriel-le;WIKIPEDIA;
CHOUQUET;YVES;M;;;;France;;;Français;Avocat;WIKIPEDIA;
FONTAINE;DANIEL;M;01/01/1945;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Instituteur-ice;WIKIPEDIA;
GAZAY;GERARD;M;23/11/1957;;;;NON;NA;Français;Ingénieur-e;WIKIPEDIA;
BONNET;ADOLPHE;M;;;;;;;;;;
FERAUD;PAUL;M;;;;;;;;;;
MARTIN;LUCIENNE;F;01/01/1937;;;;17/08/2021;AUBAGNE;Français;;PRESSE;
GARCIA;DANIELE;F;12/03/1948;;;;NON;NA;Français;Cadre;PRESSE;
MIQUELLY;VERONIQUE;F;15/02/1971;AURIOL;BOUCHES DU RHONE;France;NON;NA;Français;Enseignant-e;PRESSE;
