"Id","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","NuancePolitique","IdTerritoire","NomTerritoire","TypeTerritoire","Sources"
"bdr_117","MARTIN","RICHARD","M",NA,"CONSEILLER MUNICIPAL",2008-03-09,2014-03-20,"FM","M",2008-03-09,2014-03-20,"FM","IND",NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_197","VENTRON","AMAPOLA","F",NA,"CONSEILLER MUNICIPAL",2020-03-15,NA,NA,"M",2020-03-15,NA,NA,"ECO",NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_001","AGRESTI ROUBACHE","SABRINA","F",1976-10-13,"DEPUTE",2022-06-19,NA,NA,NA,NA,NA,NA,"LREM",NA,"1ere CIRCONSCRIPTION BOUCHES DU RHONE","Circonscription législative","WIKIPEDIA"
"bdr_001","AGRESTI ROUBACHE","SABRINA","F",1976-10-13,"CONSEILLER REGIONAL",2021-01-27,NA,NA,NA,NA,NA,NA,"LREM",NA,"BOUCHES DU RHONE","Departement","WIKIPEDIA"
"bdr_103","LELOUIS","GISELE","F",1952-03-10,"CONSEILLER MUNICIPAL",2014-03-23,2020-03-10,"FM",NA,NA,NA,NA,"EXTD",NA,"MARSEILLE","Commune","WIKIPEDIA"
"bdr_103","LELOUIS","GISELE","F",1952-03-10,"CONSEILLER MUNICIPAL",2020-03-15,NA,NA,NA,NA,NA,NA,"EXTD",NA,"MARSEILLE","Commune","WIKIPEDIA"
"bdr_103","LELOUIS","GISELE","F",1952-03-10,"DEPUTE",2022-06-19,NA,NA,NA,NA,NA,NA,"EXTD",NA,"3e CIRCONSCRIPTION BOUCHES DU RHONE","Circonscription législative","WIKIPEDIA"
"bdr_025","BOMPARD","MANUEL","M",1986-03-30,"REPRESENTANT EUROPEEN",2019-07-02,2022-07-28,"DM",NA,NA,NA,NA,"SOC",NA,NA,NA,"WIKIPEDIA"
"bdr_025","BOMPARD","MANUEL","M",1986-03-30,"DEPUTE",2022-06-19,NA,NA,NA,NA,NA,NA,"EXTG",NA,"4e CIRCONSCRIPTION BOUCHES DU RHONE","Circonscription législative","WIKIPEDIA"
"bdr_047","DAVI","HENDRICK","M",1977-12-21,"DEPUTE",2022-06-19,NA,NA,NA,NA,NA,NA,"EXTG",NA,"5e CIRCONSCRIPTION BOUCHES DU RHONE","Circonscription législative","WIKIPEDIA"
"bdr_172","ROYER PERREAUT","LIONEL","M",1972-11-13,"DEPUTE",2022-06-19,NA,NA,NA,NA,NA,NA,"LREM",NA,"6e CIRCONSCRIPTION BOUCHES DU RHONE","Circonscription législative","WIKIPEDIA"
"bdr_172","ROYER PERREAUT","LIONEL","M",1972-11-13,"CONSEILLER MUNICIPAL",2014-03-23,2020-03-10,"FM","Ma",2014-03-23,2020-03-10,"FM","DROITE",NA,"MARSEILLE","Commune","WIKIPEDIA"
"bdr_172","ROYER PERREAUT","LIONEL","M",1972-11-13,"CONSEILLER MUNICIPAL",2020-03-15,2022-07-19,"DM","Ma",2020-03-15,2022-07-19,"CUMUL","LREM",NA,"MARSEILLE","Commune","WIKIPEDIA"
"bdr_172","ROYER PERREAUT","LIONEL","M",1972-11-13,"CONSEILLER DEPARTEMENTAL",2015-03-29,2021-05-20,"FM",NA,NA,NA,NA,NA,NA,"MARSEILLE 10","Canton","WIKIPEDIA"
"bdr_172","ROYER PERREAUT","LIONEL","M",1972-11-13,"CONSEILLER DEPARTEMENTAL",2021-06-27,2022-07-19,"DM",NA,NA,NA,NA,NA,NA,"MARSEILLE 10","Canton","WIKIPEDIA"
"bdr_055","DELOGU","SEBASTIEN","M",1987-06-08,"DEPUTE",2022-06-19,NA,NA,NA,NA,NA,NA,"EXTG",NA,"7e CIRCONSCRIPTION BOUCHES DU RHONE","Circonscription législative","WIKIPEDIA"
"bdr_129","MELIN","JOELLE","F",1950-03-26,"DEPUTE",2022-06-19,NA,NA,NA,NA,NA,NA,"EXTD",NA,"9e CIRCONSCRIPTION BOUCHES DU RHONE","Circonscription législative","WIKIPEDIA"
"bdr_129","MELIN","JOELLE","F",1950-03-26,"REPRESENTANT EUROPEEN",2014-05-25,2019-05-20,"FM",NA,NA,NA,NA,"EXTD",NA,NA,NA,"WIKIPEDIA"
"bdr_129","MELIN","JOELLE","F",1950-03-26,"REPRESENTANT EUROPEEN",2019-05-25,2022-07-28,"DM",NA,NA,NA,NA,"EXTD",NA,NA,NA,"WIKIPEDIA"
"bdr_129","MELIN","JOELLE","F",1950-03-26,"CONSEILLER MUNICIPAL",2014-03-23,2020-03-10,"FM",NA,NA,NA,NA,"EXTD",NA,"AUBAGNE","Commune","WIKIPEDIA"
"bdr_129","MELIN","JOELLE","F",1950-03-26,"CONSEILLER MUNICIPAL",2020-03-15,NA,NA,NA,NA,NA,NA,"EXTD",NA,"AUBAGNE","Commune","WIKIPEDIA"
"bdr_129","MELIN","JOELLE","F",1950-03-26,"CONSEILLER REGIONAL",2010-03-21,2015-12-13,"FM",NA,NA,NA,NA,"EXTD",NA,"BOUCHES DU RHONE","Departement","WIKIPEDIA"
"bdr_081","GONZALEZ","JOSE","M",1943-04-28,"DEPUTE",2022-06-19,NA,NA,NA,NA,NA,NA,"EXTD",NA,"10e CIRCONSCRIPTION BOUCHES DU RHONE","Circonscription législative","WIKIPEDIA"
"bdr_081","GONZALEZ","JOSE","M",1943-04-28,"CONSEILLER MUNICIPAL",2020-06-28,NA,NA,NA,NA,NA,NA,"EXTD",NA,"ALLAUCH","Commune","WIKIPEDIA"
